County,Offense,Offense Description,Offense Date
Hood,Drug,POSS CS PG 1 <1G,10/5/2017
McLennan,Violent,SEXUAL ASSAULT,1/24/2018
Randall,Other,BAIL JUMPING AND FAIL TO APPEAR FELONY,6/27/2018
Nueces,Violent,ASSAULT BI FAM/HOUSE MEM 2+ W/IN 12 MONTHS,2/16/2017
Harris,Property,BURGLARY OF BUILDING,6/5/2018
Potter,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/21/2017
Harrison,Violent,AGG ASSAULT CAUSES SERIOUS BODILY INJ,6/1/2018
Harris,Drug,MAN DEL CS PG 1 <1G,6/5/2018
Hunt,Drug,POSS CS PG 1 <1G,6/23/2017
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER W/PREV CONV,12/20/2018
Travis,Drug,POSS CS PG 1 <1G,2/3/2017
Nueces,Drug,POSS CS PG 1 <1G,5/31/2018
Tarrant,Violent,AGG ASSAULT W/DEADLY WEAPON,10/8/2018
Navarro,Drug,MAN DEL CS PG 1 >=1G<4G,8/29/2017
Liberty,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/17/2017
Guadalupe,Property,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,11/17/2017
Wichita,Drug,POSS CS PG 1 <1G,2/2/2018
Brazoria,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/27/2018
Gregg,Drug,MAN DEL CS PG 1 >=4G<200G,12/21/2018
Ellis,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",6/22/2018
Dallas,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/8/2019
Parker,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,8/19/2018
Cameron,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/5/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,1/28/2019
Bexar,Other,OBSTRUCTION OR RETALIATION,4/17/2019
Ochiltree,Drug,POSS CS PG 1 <1G,12/31/2017
McLennan,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,2/12/2018
Navarro,Drug,POSS CS PG 1 <1G,1/24/2019
Ellis,Drug,POSS CS PG 1 <1G,4/5/2018
Hill,Violent,STALKING,10/18/2017
Tom Green,Violent,ASSAULT PUBLIC SERVANT,5/19/2017
Bexar,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,5/7/2018
Tom Green,Drug,POSS CS PG 1 <1G,7/16/2017
Denton,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/29/2017
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/9/2019
Dallas,Property,UNAUTH USE OF VEHICLE,10/16/2018
Hill,Other,VIOL BOND/PROTECTIVE ORDER 2+ TIMES W/I 12 MO,2/24/2018
Smith,Drug,POSS CS PG 1 <1G,12/18/2017
Van Zandt,Drug,MAN DEL CS PG 1 >=4G<200G,3/6/2018
Hidalgo,Violent,AGG ASSAULT W/DEADLY WEAPON,7/6/2018
Dallas,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,8/1/2017
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/6/2018
Midland,Drug,POSS CS PG 1 <1G,6/24/2017
Bexar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/12/2017
Wise,Drug,MAN DEL CS PG 1 >=4G<200G,10/1/2017
Harris,Drug,POSS CS PG 1 <1G,11/7/2018
Lubbock,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/13/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/23/2017
Ector,Violent,AGG ASSAULT W/DEADLY WEAPON,1/6/2017
Kaufman,Drug,POSS CS PG 1 <1G,9/9/2018
Travis,Violent,AGG ASSAULT W/DEADLY WEAPON,11/29/2018
Wichita,Drug,POSS CS PG 1 >=4G<200G,1/25/2018
Bexar,Violent,INDECENCY W/CHILD SEXUAL CONTACT,10/9/2017
Brazos,Violent,INDECENCY W/CHILD SEXUAL CONTACT,1/1/2017
Harris,Other,DEADLY CONDUCT DISCHARGE FIREARM,4/7/2017
Bexar,Property,BURGLARY OF HABITATION,7/16/2018
Harris,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,9/25/2018
Kendall,Other,TAMPER/FABRICATE PHYS EVID W/INTENT TO IMPAIR,8/5/2018
Montgomery,Drug,POSS CS PG 1 >=1G<4G,11/6/2018
Harris,Drug,POSS CS PG 1 <1G,8/26/2018
Nacogdoches,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",8/20/2018
San Jacinto,Drug,POSS CS PG 1 <1G,3/31/2018
Harris,Property,BURGLARY OF BUILDING,1/6/2019
Galveston,Drug,POSS CS PG 1 <1G,9/18/2018
Harris,Drug,MAN DEL CS PG 1 <1G,6/17/2019
Harris,Violent,CONTINUOUS VIOLENCE AGAINST THE FAMILY,5/24/2018
Harris,Drug,POSS CS PG 1 <1G,4/10/2019
Travis,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,3/19/2018
Harris,Property,BURGLARY OF BUILDING,11/2/2018
Dallas,Property,CRIMINAL MISCHIEF >=$30K<$150K,5/1/2018
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,12/15/2017
Parker,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/14/2018
Bell,Other,EVADING ARST/DETN W/VEH,2/19/2018
Harris,Property,FORGERY GOVT/NATIONAL INST/MONEY/SECURITY,3/31/2017
Harris,Property,BURGLARY OF HABITATION,11/7/2017
Brazos,Drug,POSS CS PG 1 <1G,3/12/2019
Harris,Other,EVADING ARST/DETN W/VEH,2/23/2019
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/5/2019
Bexar,Drug,POSS CS PG 1 >=1G<4G,5/31/2018
Henderson,Drug,POSS CS PG 1 >=4G<200G,1/8/2018
Harris,Violent,AGG ASSAULT W/DEADLY WEAPON,1/21/2017
Anderson,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",4/3/2017
Hill,Other,DRIVING WHILE INTOXICATED W/CHILD UNDER 15 YOA,3/31/2017
Collin,Property,UNAUTH USE OF VEHICLE,9/1/2018
Navarro,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",6/6/2018
San Jacinto,Drug,MAN DEL CS PG 1 >=1G<4G,3/1/2018
Cameron,Property,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,10/27/2018
Harris,Drug,POSS CS PG 1 <1G,2/9/2017
Tom Green,Drug,POSS CS PG 1 <1G,6/14/2018
Collin,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,8/6/2017
Johnson,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,10/23/2018
Dallas,Property,BURGLARY OF HABITATION,6/19/2018
Dallas,Drug,POSS CS PG 1 <1G,12/17/2017
Dallas,Violent,AGG ASSAULT W/DEADLY WEAPON,9/19/2017
Harrison,Drug,POSS CS PG 1 <1G,4/24/2018
Midland,Drug,POSS CS PG 1 <1G,10/10/2018
Montgomery,Drug,POSS CS PG 1 <1G,3/23/2019
Travis,Violent,AGG ROBBERY,5/11/2018
Lee,Drug,POSS CS PG 1 <1G,2/20/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",6/28/2018
Harris,Property,BURGLARY OF HABITATION,4/4/2019
Denton,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/4/2017
Hays,Property,BURGLARY OF BUILDING,12/20/2018
Tarrant,Violent,POSS W/INT TO PROMOTE CHILD PORNOGRAPHY,6/12/2017
Llano,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/23/2017
Dallas,Property,BURGLARY OF BUILDING,2/21/2019
Bexar,Drug,POSS CS PG 1 <1G,6/20/2018
Bexar,Property,BURGLARY OF HABITATION,8/12/2017
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",8/27/2018
Hidalgo,Violent,AGG ASSAULT W/DEADLY WEAPON,10/1/2017
Henderson,Drug,POSS CS PG 1 >=1G<4G,1/25/2017
Bexar,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,10/28/2018
Bexar,Drug,POSS CS PG 1 <1G,5/30/2018
Trinity,Violent,HARASSMENT OF PUBLIC SERVANT,8/6/2017
Tarrant,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,8/10/2018
Bexar,Drug,POSS CS PG 1 >=1G<4G,1/2/2018
Montgomery,Drug,POSS CS PG 1 >=4G<200G,5/4/2019
Harris,Violent,INJURY CHILD/ELDERLY/DISABLED CRIMINAL NEGLIGENCE,11/24/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",4/22/2018
Brazoria,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/3/2018
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/8/2018
Harris,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,4/12/2018
Lamar,Property,"HINDER SECURED CREDITORS >=$2,500<$30K",2/16/2018
Kaufman,Violent,AGG ASSAULT W/DEADLY WEAPON,5/29/2017
Rockwall,Other,UNL POSS FIREARM BY FELON,11/21/2017
Bexar,Violent,AGG ASSAULT W/DEADLY WEAPON,9/25/2017
Parker,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,6/7/2018
Tarrant,Drug,MAN DEL CS PG 1 >=4G<200G,7/11/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/27/2018
Jefferson,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",5/11/2018
Harris,Property,UNAUTH USE OF VEHICLE,2/7/2019
Taylor,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,8/9/2017
Galveston,Property,BURGLARY OF HABITATION,11/7/2017
Calhoun,Drug,POSS CS PG 1 >=1G<4G,6/4/2018
Johnson,Drug,POSS CS PG 1 >=1G<4G,1/5/2018
Jefferson,Other,UNL POSS FIREARM BY FELON,1/6/2018
Ellis,Property,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,3/4/2018
Harris,Other,DEADLY CONDUCT DISCHARGE FIREARM,4/27/2017
Bell,Drug,POSS CS PG 1 >=1G<4G,7/5/2018
Cherokee,Other,EVADING ARST/DETN W/VEH,7/10/2018
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/10/2017
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/29/2017
Ector,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,5/6/2018
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,8/21/2017
Fort Bend,Drug,MAN DEL CS PG 1 >=4G<200G,5/8/2018
San Patricio,Property,BURGLARY OF BUILDING,10/6/2018
Ector,Drug,POSS CS PG 1 >=4G<200G,1/11/2018
Madison,Other,ENGAGING IN ORGANIZED CRIMINAL ACTIVITY,4/9/2017
Hill,Drug,POSS CS PG 1 <1G,12/13/2018
Tarrant,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,4/30/2018
Burleson,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/17/2017
Burnet,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/27/2017
Galveston,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,12/20/2017
Bexar,Drug,POSS CS PG 1 >=4G<200G,11/2/2017
Kaufman,Drug,POSS CS PG 1 <1G,6/6/2017
Harris,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,9/22/2017
McLennan,Drug,POSS CS PG 1 <1G,5/26/2017
Burnet,Drug,POSS CS PG 1 <1G,2/28/2017
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/11/2018
Tarrant,Drug,POSS CS PG 1 <1G,7/24/2018
El Paso,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/21/2018
Taylor,Drug,POSS CS PG 1 <1G,4/12/2017
Navarro,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,12/8/2017
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/20/2018
Bexar,Other,TAMPER/FABRICATE PHYS EVID W/INTENT TO IMPAIR,1/6/2019
Midland,Other,HINDERING APPREH/PROS KNOWN FELON SEX OFFENDER,2/16/2017
Fort Bend,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/10/2017
Harris,Other,EVADING ARST/DETN W/VEH,9/22/2017
Tarrant,Other,SEX OFFENDERS DUTY TO REGISTER W/PREV CONV,11/30/2018
Gonzales,Drug,POSS CS PG 1 >=1G<4G,3/3/2018
El Paso,Drug,MAN DEL CS PG 1 <1G,1/26/2018
Cooke,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,5/21/2018
Trinity,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,10/30/2017
Rockwall,Drug,MAN DEL CS PG 1 >=400G,7/11/2018
Brazoria,Drug,POSS CS PG 1 <1G,3/20/2019
Reagan,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/12/2017
Travis,Drug,POSS CS PG1 <1G DFZ IAT,9/22/2018
Bexar,Drug,MAN DEL CS PG 2 <1G,5/8/2018
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/7/2018
Harris,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,7/28/2018
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/25/2018
Wood,Drug,POSS CS PG 1 <1G,2/10/2018
Falls,Other,DRIVING WHILE INTOXICATED 3RD OR MORE IAT,10/31/2018
El Paso,Property,BURGLARY OF BUILDING,1/13/2019
Harris,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,5/24/2019
Bell,Violent,AGG ASSAULT W/DEADLY WEAPON,3/5/2017
Parker,Drug,MAN DEL CS PG 1 >=4G<200G,3/18/2018
Harris,Property,"CRIMINAL MISCHIEF >=$2,500<$30K",4/12/2019
Comal,Drug,POSS CS PG 1 <1G,12/1/2018
Tarrant,Drug,POSS CS PG 1 <1G,2/21/2019
Harris,Property,FORGERY FINANCIAL INSTRUMENT,10/22/2018
Nueces,Property,BURGLARY OF HABITATION,10/27/2018
Galveston,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,12/29/2018
Dallas,Drug,MAN DEL CS PG 1 >=1G<4G,2/9/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/23/2018
Bexar,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,4/15/2018
Hill,Drug,POSS CS PG 1 <1G,1/20/2019
Eastland,Drug,MAN DEL CS PG 1 >=4G<200G,5/30/2018
Travis,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/15/2018
Comal,Drug,POSS CS PG 1 <1G,12/30/2017
Upshur,Other,UNL POSS FIREARM BY FELON,1/11/2019
Bexar,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,2/24/2017
Ector,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",4/23/2018
Cameron,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/24/2018
Tarrant,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,5/11/2018
Burleson,Other,TAMPER/FABRICATE PHYS EVID W/INTENT TO IMPAIR,5/4/2018
Jefferson,Drug,POSS CS PG 1 <1G,2/10/2017
Hopkins,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",5/1/2018
Freestone,Property,FORGERY - DEFRAUD/HARM OF ANOTHER ELDERLY IAT,1/29/2018
Harris,Property,CREDIT CARD OR DEBIT CARD ABUSE,7/14/2018
Harris,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,3/7/2018
Travis,Drug,POSS CS PG 1 <1G,6/2/2017
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,7/5/2018
Travis,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/22/2018
Wichita,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/5/2019
Travis,Property,UNAUTH USE OF VEHICLE,9/7/2018
Harris,Other,SEX OFFENDERS DUTY TO REGISTER 10YRS,8/11/2017
Dallas,Other,ILLEGAL DUMPING >1000LBS OR >200CFT,10/28/2018
Tarrant,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,7/28/2017
Midland,Property,"THEFT PROP >=$2,500<$30K",5/3/2017
Dallas,Drug,POSS CS PG 1 <1G,10/1/2018
Lamar,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,8/7/2018
Pecos,Violent,AGG ASSAULT W/DEADLY WEAPON,2/5/2018
Coryell,Violent,AGG ASSAULT W/DEADLY WEAPON,4/28/2017
Bexar,Drug,POSS CS PG 1 <1G,7/8/2018
Hidalgo,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/28/2018
Wichita,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",4/16/2018
Lubbock,Violent,MANSLAUGHTER,10/5/2017
Leon,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/14/2018
Cameron,Violent,AGG ASSAULT CAUSES SERIOUS BODILY INJ,2/2/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/12/2017
Orange,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",5/22/2018
Taylor,Drug,POSS CS PG 1 >=1G<4G,10/2/2018
Collin,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/21/2018
Orange,Property,BURGLARY OF BUILDING,12/26/2017
Brazoria,Drug,POSS CS PG 1 <1G,2/21/2018
Bowie,Drug,POSS CS PG 1 <1G,12/26/2018
Wise,Drug,POSS CS PG 1 <1G,10/30/2017
Parker,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/7/2018
Limestone,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",5/7/2018
Gregg,Violent,AGG ASSAULT W/DEADLY WEAPON,11/13/2018
Nueces,Property,BURGLARY OF BUILDING,11/28/2018
Tom Green,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/16/2017
Rockwall,Property,FORGERY FINANCIAL INSTRUMENT,1/2/2017
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",2/23/2019
Burnet,Drug,POSS CS PG 1 <1G,7/1/2018
El Paso,Drug,POSS CS PG 1 <1G,3/23/2018
Bell,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,1/25/2018
Bandera,Other,BAIL JUMPING AND FAIL TO APPEAR FELONY,2/14/2018
Dallas,Violent,AGG ROBBERY,12/26/2018
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",2/26/2019
Montgomery,Drug,POSS CS PG 1 <1G,8/1/2018
Harris,Property,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 5<10,6/20/2018
Burnet,Other,BAIL JUMPING AND FAIL TO APPEAR FELONY,10/4/2018
Gregg,Drug,POSS CS PG 1 >=1G<4G,1/31/2018
Travis,Violent,AGG ASSAULT W/DEADLY WEAPON,3/3/2018
Randall,Drug,POSS CS PG 1 <1G,9/2/2018
Tom Green,Property,BURGLARY OF BUILDING,12/18/2017
Rockwall,Drug,POSS CS PG 1 <1G,4/22/2018
Kaufman,Property,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,1/10/2018
Taylor,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,12/5/2017
Bowie,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,5/20/2018
Parker,Drug,POSS CS PG 1 <1G,5/29/2018
Harris,Other,UNL POSS FIREARM BY FELON,4/3/2018
Brazoria,Property,FORGERY FINANCIAL INSTRUMENT,9/29/2017
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/27/2019
Anderson,Violent,AGG ASSAULT DATE/FAMILY/HOUSE W/WEAPON,8/15/2018
Ector,Property,CREDIT CARD OR DEBIT CARD ABUSE ELDERLY,10/23/2017
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/18/2018
Dallas,Violent,AGG ROBBERY,9/22/2018
Hunt,Drug,POSS CS PG 1 >=1G<4G,6/23/2017
Harris,Property,BURGLARY OF BUILDING,4/12/2019
Tarrant,Property,FRAUD USE/POSS IDENT INFO # ITEMS <5 ELDERLY,4/28/2018
Grayson,Drug,POSS CS PG 1 <1G,10/6/2018
Denton,Other,TAMPER/FABRICATE PHYS EVID W/INTENT TO IMPAIR,2/21/2018
Tarrant,Drug,POSS CS PG 1 <1G,3/9/2019
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/9/2019
Wood,Violent,AGG ASSAULT DATE/FAMILY/HOUSE W/WEAPON,1/8/2017
Tarrant,Drug,POSS CS PG 1 <1G,1/14/2019
Harris,Property,UNAUTH USE OF VEHICLE,7/29/2018
Jefferson,Property,BURGLARY OF HABITATION,7/27/2017
Upshur,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/1/2017
Tarrant,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,3/31/2018
McLennan,Other,EVADING ARST/DETN W/VEH,5/6/2018
Nueces,Drug,POSS CS PG 1 <1G,8/22/2017
Johnson,Drug,POSS CS PG 1 <1G,9/5/2017
Bowie,Property,FORGERY GOVT/NATIONAL INST/MONEY/SECURITY,6/25/2018
Gregg,Property,CREDIT CARD OR DEBIT CARD ABUSE,7/5/2017
Harris,Other,UNL POSS FIREARM BY FELON,10/30/2018
Anderson,Other,UNL POSS FIREARM BY FELON,4/24/2018
Hunt,Drug,POSS CS PG 1 <1G,5/13/2017
Harris,Drug,POSS CS PG 1 <1G,4/1/2019
Dallas,Property,UNAUTH USE OF VEHICLE,2/19/2018
Johnson,Violent,HARASSMENT OF PUBLIC SERVANT,11/17/2018
Gregg,Property,FORGERY FINANCIAL INSTRUMENT,4/4/2017
Harris,Drug,MAN DEL CS PG 1 <1G,9/20/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/21/2018
Dallas,Drug,POSS CS PG 1 <1G,11/11/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/30/2018
Galveston,Other,VIOL BOND/PROTECTIVE ORDER 2+ PREV CONV IAT,3/16/2017
Rockwall,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,3/10/2018
Tarrant,Drug,POSS CS PG 1 <1G,3/27/2017
Liberty,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,1/20/2018
McLennan,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,4/12/2018
Dallas,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/1/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/15/2018
Taylor,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,2/13/2018
Midland,Violent,ROBBERY,9/29/2018
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",2/14/2018
Hidalgo,Violent,HARASSMENT OF PUBLIC SERVANT,1/8/2018
Nueces,Property,BURGLARY OF BUILDING,6/28/2018
Bexar,Violent,ROBBERY,6/9/2017
Bexar,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,10/7/2018
Gregg,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/22/2018
Harris,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,8/28/2017
Bexar,Violent,AGG ASSAULT W/DEADLY WEAPON,8/5/2017
Parker,Drug,MAN DEL CS PG 1 >=1G<4G,6/25/2018
Hidalgo,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/13/2018
Dallas,Violent,AGG ASSAULT W/DEADLY WEAPON,10/9/2017
Lamar,Other,UNL POSS FIREARM BY FELON,6/30/2018
Harris,Other,SEX OFFENDERS DUTY TO REGISTER 10YRS,3/10/2018
Nacogdoches,Violent,AGG ASSAULT CAUSES SERIOUS BODILY INJ,6/28/2017
El Paso,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,5/22/2018
Brown,Violent,AGG ASSAULT W/DEADLY WEAPON,3/8/2017
Collin,Drug,POSS CS PG 1 <1G,4/25/2018
Tarrant,Drug,POSS CS PG 1 >=1G<4G,6/3/2019
Harris,Property,CREDIT CARD OR DEBIT CARD ABUSE,2/28/2018
Gregg,Drug,POSS CS PG 1 <1G,11/20/2017
Tarrant,Drug,POSS CS PG 1 <1G,8/1/2018
Orange,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/28/2017
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/21/2017
Dallas,Property,UNAUTH USE OF VEHICLE,11/3/2018
Denton,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/6/2017
Harris,Violent,AGG ASSAULT W/DEADLY WEAPON,1/22/2019
Bexar,Violent,AGG ASSAULT W/DEADLY WEAPON,12/29/2018
Galveston,Violent,AGG ASSAULT DATE/FAMILY/HOUSE W/WEAPON,12/24/2017
Hays,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/28/2017
Cameron,Violent,INDECENCY W/CHILD SEXUAL CONTACT,7/1/2017
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/18/2017
Harris,Violent,AGG ASSAULT W/DEADLY WEAPON,6/25/2017
Smith,Drug,POSS CS PG 1 <1G,7/9/2018
Harris,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,11/1/2017
El Paso,Other,VIOL BOND/PROTECTIVE ORDER 2+ TIMES W/I 12 MO,4/30/2017
Brown,Drug,POSS CS PG1 <1G DFZ IAT,8/21/2017
Houston,Property,BURGLARY OF HABITATION,2/20/2018
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/15/2018
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,9/24/2018
Harris,Violent,AGG ASSAULT W/DEADLY WEAPON,9/10/2017
Harris,Property,BURGLARY OF BUILDING,11/10/2018
Dallas,Other,EVADING ARST/DETN W/VEH,12/31/2017
Burnet,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/30/2017
Kerr,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/19/2019
Ector,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/13/2018
Ellis,Violent,AGG SEXUAL ASSAULT CHILD,6/2/2017
Tarrant,Drug,POSS CS PG 1 <1G,2/26/2018
Comal,Property,BURGLARY OF HABITATION,4/15/2018
Travis,Violent,AGG ASSAULT W/DEADLY WEAPON,1/25/2018
Gregg,Drug,POSS CS PG 1 <1G,8/24/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/7/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",5/16/2018
Freestone,Drug,POSS CS PG 1 <1G,1/12/2018
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",2/9/2017
Nacogdoches,Violent,CAPITAL MURDER BY TERROR THREAT/OTHER FELONY,4/9/2017
Dallas,Drug,POSS CS PG 1 <1G,7/16/2018
Kleberg,Violent,ASSAULT PUBLIC SERVANT,1/8/2019
Harris,Other,OBSTRUCTION OR RETALIATION,10/9/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",4/9/2017
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,1/31/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,12/25/2017
Kendall,Drug,POSS CS PG 1 <1G,1/29/2018
Tarrant,Drug,POSS CS PG 1 <1G,5/7/2018
